"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"116","Wan'Dale Robinson (NYG)","23","31","227","9.9","19","0","1","2","-1","0","0","6","51.6","8.6","8.7%"
"117","Michael Thomas (FA)","16","22","171","10.7","21","2","3","0","0","0","0","3","51.1","17.0","17.0%"
"118","Brandon Powell (MIN)","24","32","156","6.5","16","0","0","17","80","0","0","17","47.6","2.8","0.7%"
"119","Sammy Watkins (FA)","16","27","325","20.3","55","7","0","0","0","0","1","9","46.5","5.2","0.0%"
"120","David Bell (CLE)","24","35","214","8.9","20","1","0","0","0","0","0","15","45.4","3.0","0.1%"
"121","Skyy Moore (KC)","22","33","250","11.4","30","2","0","3","24","0","3","16","43.4","2.7","6.4%"
"122","Ashton Dulin (IND)","15","22","207","13.8","39","2","1","2","8","0","0","10","42.5","4.3","0.1%"
"123","Scotty Miller (PIT)","23","40","185","8.0","23","2","0","1","8","0","0","12","42.3","3.5","0.1%"
"124","KhaDarel Hodge (ATL)","13","20","202","15.5","39","2","1","0","0","0","0","13","41.2","3.2","0.1%"
"125","Amari Rodgers (FA)","16","25","204","12.8","37","3","1","2","7","0","2","15","39.1","2.6","0.0%"
"126","Marquez Callaway (PIT)","16","32","158","9.9","33","2","1","0","0","0","0","10","37.8","3.8","0.1%"
"127","Zach Pascal (ARI)","15","19","150","10.0","34","2","1","1","0","0","0","15","36.0","2.4","0.1%"
"128","Byron Pringle (FA)","10","16","135","13.5","35","3","2","0","0","0","0","10","35.5","3.6","0.0%"
"129","Sterling Shepard (TB)","13","24","154","11.8","65","1","1","0","0","0","0","3","34.4","11.5","0.1%"
"130","Khalil Shakir (BUF)","10","20","161","16.1","31","4","1","0","0","0","0","10","34.1","3.4","12.7%"
"131","Velus Jones Jr. (CHI)","7","14","107","15.3","44","2","1","9","103","1","3","11","34.0","3.1","0.2%"
"132","Jalen Nailor (MIN)","9","13","179","19.9","47","3","1","0","0","0","0","8","32.9","4.1","0.1%"
"133","Dyami Brown (WAS)","5","14","143","28.6","75","2","2","1","15","0","0","9","32.8","3.6","0.1%"
"134","Steven Sims Jr. (HOU)","14","23","104","7.4","28","1","0","13","70","0","0","12","31.4","2.6","0.0%"
"135","River Cracraft (MIA)","9","14","102","11.3","22","1","2","0","0","0","0","8","31.2","3.9","0.1%"
"136","Lawrence Cager (NYG)","13","19","118","9.1","20","1","1","0","0","0","0","6","30.8","5.1","0.0%"
"137","Keelan Cole Sr. (FA)","10","21","141","14.1","30","3","1","0","0","0","0","12","30.1","2.5","0.0%"
"138","Denzel Mims (JAC)","11","25","186","16.9","63","2","0","0","0","0","0","9","29.6","3.3","0.0%"
"139","Jalen Reagor (NE)","8","13","104","13.0","38","2","1","4","25","0","0","17","26.9","1.6","0.1%"
"140","Cedrick Wilson Jr. (NO)","12","18","136","11.3","21","2","0","1","8","0","0","13","26.4","2.0","1.1%"
"141","KJ Hamler (BUF)","7","14","165","23.6","55","3","0","2","23","0","0","7","25.8","3.7","0.1%"
"142","N'Keal Harry (MIN)","7","9","116","16.6","49","1","1","0","0","0","0","6","24.6","4.1","0.1%"
"143","DeSean Jackson (FA)","9","17","153","17.0","62","2","0","0","0","0","0","7","24.3","3.5","0.6%"
"144","Breshad Perriman (FA)","9","19","110","12.2","28","2","1","2","-7","0","1","8","23.3","2.9","0.0%"
"145","Tom Kennedy (DET)","8","15","141","17.6","44","2","0","0","0","0","0","7","22.1","3.2","0.0%"
"146","David Sills (DEN)","11","17","106","9.6","24","1","0","0","0","0","0","7","21.6","3.1","0.0%"
"147","Jeff Smith (ARI)","8","11","134","16.8","50","2","0","0","0","0","0","7","21.4","3.1","0.0%"
"148","Kenny Golladay (FA)","6","17","81","13.5","25","1","1","0","0","0","0","6","20.1","3.4","4.0%"
"149","Samori Toure (GB)","5","10","82","16.4","37","2","1","0","0","0","0","4","19.2","4.8","0.0%"
"150","T.Y. Hilton (FA)","7","10","121","17.3","52","2","0","0","0","0","0","3","19.1","6.4","3.0%"
"151","Marcus Johnson (FA)","9","22","99","11.0","18","0","0","0","0","0","0","8","18.9","2.4","0.0%"
"152","Michael Bandy (DEN)","10","21","89","8.9","25","2","0","0","0","0","0","8","18.9","2.4","0.0%"
"153","Anthony Schwartz (MIA)","4","10","51","12.8","19","0","0","4","57","1","1","7","18.8","2.7","0.0%"
"154","Cam Sims (CAR)","8","18","89","11.1","21","1","0","0","0","0","0","13","16.9","1.3","0.0%"
"155","Dax Milne (WAS)","6","7","37","6.2","12","0","1","0","0","0","0","15","15.7","1.0","0.0%"
"156","Jameson Williams (DET)","1","9","41","41.0","41","1","1","1","40","0","0","6","15.1","2.5","44.9%"
"157","Brandon Johnson (DEN)","6","14","42","7.0","12","0","1","0","0","0","1","5","14.2","2.8","2.0%"
"158","Dee Eskridge (SEA)","7","13","58","8.3","16","0","0","2","10","0","0","9","13.8","1.5","0.1%"
"159","Jalen Virgil (DEN)","2","5","75","37.5","66","1","1","0","0","0","1","7","13.5","1.9","0.0%"
"160","James Proche II (CLE)","8","17","62","7.8","12","0","0","0","0","0","0","12","13.2","1.1","0.0%"
"161","Gunner Olszewski (NYG)","5","7","53","10.6","31","1","0","8","39","0","1","15","12.2","0.8","0.0%"
"162","Jamison Crowder (WAS)","6","13","60","10.0","16","0","0","0","0","0","0","4","12.0","3.0","0.3%"
"163","Kyle Philips (TEN)","8","13","78","9.8","21","2","0","0","0","0","2","4","11.8","3.0","0.1%"
"164","Trent Taylor (SF)","6","10","62","10.3","34","1","0","4","15","0","1","16","11.7","0.7","0.0%"
"165","Andre Baccellia (ARI)","7","10","45","6.4","11","0","0","0","0","0","0","5","11.5","2.3","0.0%"
"166","Freddie Swain (CHI)","4","6","74","18.5","52","1","0","0","0","0","0","3","11.4","3.8","0.0%"
"167","John Brown (FA)","1","2","42","42.0","42","1","1","0","0","0","0","2","11.2","5.6","0.0%"
"168","Deven Thompkins (FA)","5","10","32","6.4","13","0","0","2","26","0","0","5","10.8","2.2","0.1%"
"169","Jake Kumerow (FA)","4","7","64","16.0","39","1","0","0","0","0","0","5","10.4","2.1","0.0%"
"170","Laquon Treadwell (FA)","6","10","42","7.0","17","0","0","0","0","0","0","3","10.2","3.4","0.0%"
"171","Cole Beasley (FA)","6","8","35","5.8","9","0","0","0","0","0","0","5","9.5","1.9","0.0%"
"172","Kevin White (FA)","2","5","74","37.0","64","1","0","0","0","0","0","6","9.4","1.6","0.0%"
"173","Michael Woods II (CLE)","5","10","45","9.0","15","0","0","1","-5","0","0","8","9.0","1.1","0.0%"
"174","Mike Strachan (CAR)","3","9","59","19.7","23","2","0","0","0","0","0","6","8.9","1.5","0.0%"
"175","Chris Conley (SF)","4","7","46","11.5","27","1","0","0","0","0","0","4","8.6","2.2","0.0%"
"176","Jalen Guyton (LV)","2","4","64","32.0","54","1","0","0","0","0","0","2","8.4","4.2","1.1%"
"177","Cody Hollister (FA)","3","5","54","18.0","27","2","0","0","0","0","0","6","8.4","1.4","0.0%"
"178","Mike Thomas (FA)","2","10","38","19.0","33","1","0","0","0","0","0","5","7.8","1.6","0.0%"
"179","Tylan Wallace (BAL)","4","7","33","8.3","12","0","0","0","0","0","0","6","7.3","1.2","0.1%"
"180","Racey McMath (DAL)","2","8","40","20.0","39","1","0","1","4","0","0","4","6.4","1.6","0.0%"
"181","Tim Jones (JAC)","3","4","30","10.0","20","1","0","0","0","0","0","7","6.0","0.9","0.0%"
"182","Simi Fehoko (LAC)","3","4","24","8.0","12","0","0","0","0","0","0","3","5.4","1.8","0.0%"
"183","Montrell Washington (KC)","4","9","2","0.5","4","0","0","5","30","0","1","15","5.2","0.3","0.0%"
"184","Penny Hart (FA)","3","4","20","6.7","15","0","0","0","0","0","0","3","5.0","1.7","0.0%"
"185","Jaelon Darden (CLE)","2","2","26","13.0","25","1","0","1","2","0","0","14","4.8","0.3","0.0%"
"186","Tyrie Cleveland (IND)","2","7","28","14.0","16","0","0","0","0","0","0","5","4.8","1.0","0.0%"
"187","Bryan Edwards (FA)","3","5","15","5.0","10","0","0","0","0","0","0","4","4.5","1.1","0.0%"
"188","Daylen Baldwin (ATL)","2","2","25","12.5","15","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"189","Dareke Young (SEA)","2","2","24","12.0","12","0","0","0","0","0","0","7","4.4","0.6","0.0%"
"190","Dezmon Patmon (FA)","2","6","24","12.0","17","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"191","Andy Isabella (BUF)","2","5","21","10.5","11","0","0","1","1","0","0","4","4.2","1.1","0.0%"
"192","Cade Johnson (FA)","2","4","21","10.5","11","0","0","0","0","0","0","2","4.1","2.1","0.0%"
"193","Pharoh Cooper (FA)","2","2","6","3.0","3","0","0","4","15","0","0","5","4.1","0.8","0.0%"
"194","Lil'Jordan Humphrey (DEN)","2","4","20","10.0","11","0","0","0","0","0","0","4","4.0","1.0","0.1%"
"195","Keith Kirkwood (BAL)","2","4","18","9.0","14","0","0","0","0","0","0","3","3.8","1.3","0.0%"
"196","Dennis Houston (NYG)","2","6","16","8.0","11","0","0","0","0","0","0","2","3.6","1.8","0.0%"
"197","Quintez Cephus (HOU)","2","3","15","7.5","9","0","0","0","0","0","0","3","3.5","1.2","0.0%"
"198","Nsimba Webster (CHI)","2","3","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","0.0%"
"199","Austin Trammell (JAC)","2","4","13","6.5","8","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"200","Jalen Tolbert (DAL)","2","3","12","6.0","8","0","0","0","0","0","0","3","3.2","1.1","1.9%"
"201","Miles Boykin (NYG)","2","3","11","5.5","11","0","0","0","0","0","0","10","3.1","0.3","0.0%"
"202","Danny Gray (SF)","1","7","10","10.0","10","0","0","1","9","0","0","7","2.9","0.4","0.1%"
"203","Juwann Winfree (IND)","1","4","17","17.0","17","0","0","0","0","0","0","3","2.7","0.9","0.0%"
"204","DJ Turner (LV)","0","1","0","0","0","0","0","4","26","0","0","6","2.6","0.4","0.0%"
"205","Frank Darby (FA)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"206","Tyron Billy-Johnson (DAL)","1","1","8","8.0","8","0","0","0","0","0","0","2","1.8","0.9","0.0%"
"207","Braylon Sanders (MIA)","2","3","17","8.5","13","0","0","0","0","0","1","2","1.7","0.9","0.0%"
